period_start,period_end,line,planned_trips,observed_trips,missing_trips,completeness_percent
2026-09-12 07:10:40,2026-09-13 07:10:40,N532,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N71,8,0,8,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N72,13,6,7,46.15
2026-09-12 07:10:40,2026-09-13 07:10:40,N728,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N73,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N74,14,6,8,42.86
2026-09-12 07:10:40,2026-09-13 07:10:40,N75,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N76,15,3,12,20.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N77,12,0,12,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N78,14,0,14,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N79,16,0,16,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N80,3,0,3,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N81,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N86,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N867,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N874,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N880,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N884,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N885,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N887,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N899,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N900,2,0,2,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N91,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N93,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N94,1,0,1,0.0
2026-09-12 07:10:40,2026-09-13 07:10:40,N943,1,0,1,0.0
